,count
2031,1222
2032,1273
2033,1135
2034,1205
2035,1401
2036,1173
2037,1267
2038,1218
2039,1177
2040,1267
2041,1243
2042,1265
2043,1182
2044,1162
2045,1365
2046,1214
2047,1284
2048,1318
2049,1226
2050,1357
2051,1267
2052,1192
2053,1337
2054,1235
2055,1355
2056,1258
2057,1203
2058,1408
2059,1259
2060,1282
2061,1205
2062,1233
2063,1312
2064,1327
2065,1472
2066,1182
2067,1222
2068,1404
2069,1237
2070,1480
2071,1299
2072,1374
2073,1402
2074,1258
2075,1555
2076,1337
2077,1276
2078,1515
2079,1337
2080,1337
2081,1310
2082,1365
2083,1380
2084,1374
2085,1540
2086,1250
2087,1273
2088,1450
2089,1372
2090,1425
2091,1359
2092,1355
2093,1387
2094,1218
2095,1431
2096,1229
2097,1177
2098,1303
2099,1305
2100,1446
2101,1306
2102,1305
2103,1337
2104,1280
2105,1784
2106,1218
2107,1269
2108,1370
2109,1280
2110,1487
2111,1256
2112,1372
2113,1374
2114,1359
2115,1442
2116,1303
2117,1291
2118,1284
2119,1380
2120,1450
2121,1203
2122,1276
2123,1357
2124,1419
2125,1453
2126,1434
2127,1259
2128,1510
2129,1329
2130,1538
2131,1359
2132,1284
2133,1312
2134,1303
2135,1557
2136,1303
2137,1303
2138,1333
2139,1387
2140,1500
2141,1340
2142,1248
2143,1408
2144,1299
2145,1549
2146,1412
2147,1306
2148,1387
2149,1370
2150,1530
2151,1419
2152,1387
2153,1291
2154,1418
2155,1557
2156,1418
2157,1386
2158,1367
2159,1303
2160,1508
2161,1455
2162,1374
2163,1495
2164,1401
2165,1666
2166,1367
2167,1359
2168,1440
2169,1423
2170,1545
2171,1478
2172,1410
2173,1453
2174,1367
2175,1453
2176,1446
2177,1450
2178,1410
2179,1380
2180,1487
2181,1275
2182,1382
2183,1453
2184,1342
2185,1630
2186,1402
2187,1412
2188,1344
2189,1357
2190,1453
2191,1402
2192,1393
2193,1370
2194,1237
2195,1570
2196,1446
2197,1418
2198,1374
2199,1387
2200,1557
2201,1468
2202,1498
2203,1418
2204,1370
2205,1585
2206,1480
2207,1431
2208,1416
2209,1478
2210,1655
2211,1440
2212,1416
2213,1487
2214,1387
2215,1515
2216,1570
2217,1387
2218,1463
2219,1402
2220,1468
2221,1540
2222,1395
2223,1515
2224,1427
2225,1621
2226,1530
2227,1418
2228,1446
2229,1404
2230,1527
2231,1542
2232,1378
2233,1502
2234,1280
2235,1645
2236,1572
2237,1487
2238,1487
2239,1318
2240,1555
2241,1555
2242,1431
2243,1357
2244,1423
2245,1583
2246,1540
2247,1502
2248,1440
2249,1387
2250,1628
2251,1401
2252,1461
2253,1431
2254,1359
2255,1800
2256,1431
2257,1389
2258,1367
2259,1419
2260,1487
2261,1340
2262,1427
2263,1389
2264,1359
2265,1562
2266,1498
2267,1446
2268,1431
2269,1487
2270,1510
2271,1357
2272,1367
2273,1427
2274,1370
2275,1530
2276,1290
2277,1446
2278,1438
2279,1374
2280,1434
2281,1525
2282,1378
2283,1416
2284,1370
2285,1470
2286,1393
2287,1498
2288,1600
2289,1431
2290,1547
2291,1446
2292,1402
2293,1419
2294,1438
2295,1557
2296,1502
2297,1476
2298,1613
2299,1418
2300,1527
2301,1425
2302,1431
2303,1440
2304,1455
2305,1517
2306,1530
2307,1365
2308,1555
2309,1549
2310,1613
2311,1416
2312,1352
2313,1440
2314,1448
2315,1465
2316,1335
2317,1340
2318,1517
2319,1463
2320,1562
2321,1446
2322,1359
2323,1545
2324,1446
2325,1600
2326,1440
2327,1425
2328,1557
2329,1401
2330,1506
2331,1402
2332,1431
2333,1370
2334,1337
2335,1562
2336,1363
2337,1397
2338,1395
2339,1470
2340,1591
2341,1442
2342,1450
2343,1423
2344,1483
2345,1502
2346,1446
2347,1322
2348,1515
2349,1557
2350,1478
2351,1446
2352,1378
2353,1438
2354,1419
2355,1577
2356,1453
2357,1480
2358,1438
2359,1508
2360,1598
2361,1386
2362,1416
2363,1530
2364,1534
2365,1572
2366,1438
2367,1427
2368,1440
2369,1472
2370,1602
2371,1453
2372,1465
2373,1472
2374,1427
2375,1564
2376,1457
2377,1423
2378,1457
2379,1434
2380,1570
2381,1587
2382,1389
2383,1515
2384,1557
2385,1579
2386,1508
2387,1495
2388,1515
2389,1418
2390,1572
2391,1476
2392,1461
2393,1487
2394,1530
2395,1593
2396,1515
2397,1534
2398,1418
2399,1446
2400,1553
2401,1615
2402,1472
2403,1510
2404,1468
2405,1783
2406,1448
2407,1397
2408,1378
2409,1431
2410,1495
2411,1410
2412,1387
2413,1440
2414,1412
2415,1410
2416,1416
2417,1372
2418,1382
2419,1446
2420,1433
2421,1374
2422,1397
2423,1557
2424,1465
2425,1495
2426,1402
2427,1370
2428,1431
2429,1472
2430,1502
2431,1314
2432,1434
2433,1453
2434,1438
2435,1476
2436,1493
2437,1393
2438,1523
2439,1453
2440,1562
2441,1423
2442,1335
2443,1562
2444,1401
2445,1591
2446,1510
2447,1483
2448,1450
2449,1478
2450,1553
2451,1512
2452,1512
2453,1378
2454,1450
2455,1519
2456,1461
2457,1572
2458,1557
2459,1410
2460,1707
2461,1419
2462,1419
2463,1461
2464,1538
2465,1585
2466,1557
2467,1446
2468,1500
2469,1493
2470,1547
2471,1506
2472,1498
2473,1540
2474,1572
2475,1555
2476,1418
2477,1438
2478,1502
2479,1461
2480,1561
2481,1493
2482,1500
2483,1493
2484,1433
2485,1555
2486,1450
2487,1455
2488,1465
2489,1389
2490,1493
2491,1433
2492,1455
2493,1487
2494,1555
2495,1495
2496,1465
2497,1402
2498,1515
2499,1476
2500,1570
2501,1530
2502,1387
2503,1545
2504,1476
2505,1553
2506,1542
2507,1463
2508,1427
2509,1495
2510,1651
2511,1572
2512,1463
2513,1433
2514,1450
2515,1465
2516,1472
2517,1418
2518,1523
2519,1455
2520,1491
2521,1570
2522,1461
2523,1576
2524,1472
2525,1545
2526,1576
2527,1433
2528,1468
2529,1502
2530,1508
2531,1423
2532,1408
2533,1523
2534,1352
2535,1461
2536,1457
2537,1545
2538,1472
2539,1423
2540,1506
2541,1461
2542,1562
2543,1478
2544,1446
2545,1577
2546,1440
2547,1425
2548,1512
2549,1442
2550,1440
2551,1517
2552,1431
2553,1502
2554,1527
2555,1673
2556,1476
2557,1340
2558,1397
2559,1472
2560,1510
2561,1434
2562,1320
2563,1423
2564,1372
2565,1350
2566,1387
2567,1355
2568,1480
2569,1410
2570,1457
2571,1352
2572,1419
2573,1446
2574,1448
2575,1653
2576,1506
2577,1438
2578,1651
2579,1367
2580,1431
2581,1378
2582,1485
2583,1506
2584,1461
2585,1450
2586,1363
2587,1367
2588,1448
2589,1517
2590,1491
2591,1418
2592,1395
2593,1502
2594,1367
2595,1418
2596,1457
2597,1419
2598,1470
2599,1523
2600,1483
2601,1416
2602,1418
2603,1493
2604,1470
2605,1438
2606,1472
2607,1433
2608,1425
2609,1508
2610,1453
2611,1593
2612,1465
2613,1425
2614,1363
2615,1570
2616,1344
2617,1348
2618,1333
2619,1416
2620,1555
2621,1461
2622,1404
2623,1472
2624,1545
2625,1564
2626,1476
2627,1290
2628,1344
2629,1461
2630,1498
2631,1442
2632,1418
2633,1402
2634,1333
2635,1357
2636,1412
2637,1352
2638,1438
2639,1380
2640,1555
2641,1410
2642,1427
2643,1350
2644,1370
2645,1606
2646,1527
2647,1333
2648,1401
2649,1480
2650,1487
2651,1446
2652,1472
2653,1372
2654,1461
2655,1515
2656,1427
2657,1418
2658,1418
2659,1461
2660,1534
2661,1423
2662,1340
2663,1427
2664,1350
2665,1472
2666,1455
2667,1412
2668,1431
2669,1431
2670,1442
2671,1493
2672,1442
2673,1493
2674,1585
2675,1572
2676,1609
2677,1416
2678,1480
2679,1448
2680,1455
2681,1587
2682,1402
2683,1382
2684,1508
2685,1440
2686,1438
2687,1337
2688,1297
2689,1448
2690,1431
2691,1372
2692,1434
2693,1386
2694,1380
2695,1402
2696,1438
2697,1393
2698,1387
2699,1318
2700,1480
2701,1363
2702,1306
2703,1418
2704,1387
2705,1480
2706,1461
2707,1431
2708,1431
2709,1382
2710,1438
2711,1450
2712,1487
2713,1378
2714,1401
2715,1470
2716,1318
